Country,Type,Year,AQI
"Lanzhou, China",City,2018,45.9
"Zhongwei, China",City,2018,36.9
"Nanchong, China",City,2018,45.3
"Damoh, India",City,2018,37.56666666666666
"Doboj, Bosnia Herzegovina",City,2018,37.3
"Lukavac, Bosnia Herzegovina",City,2018,55.6
"Shenyang, China",City,2018,39.3
"Esik, Kazakhstan",City,2018,37.0
"Suizhou, China",City,2018,44.0
"Shaoyang, China",City,2018,44.0
"Dubai, United Arab Emirates",City,2018,55.3
"Pho Moi, Vietnam",City,2018,36.9
"Huludao, China",City,2018,41.0
"Shooshtar, Iran",City,2018,34.99999999999999
"Yeghegnavan, Armenia",City,2018,31.700000000000003
"Taixing, China",City,2018,36.7
"Dawukou, China",City,2018,36.7
"Liaoyang, China",City,2018,37.6
"Ceglie Messapica, Italy",City,2018,16.2
"Wuzhong, China",City,2018,37.9
"Hangu, China",City,2018,36.5
"Ust-Kamenogorsk, Kazakhstan",City,2018,36.4
"Eslamshahr, Iran",City,2018,28.0
"Xinpu, China",City,2018,36.833333333333336
"Anshan, China",City,2018,34.9
"Warin Chamrap, Thailand",City,2018,36.2
"Hanoi, Vietnam",City,2018,40.8
"Coyhaique, Chile",City,2018,34.2
"Bandar Mahshahr, Iran",City,2018,36.650000000000006
"Qinhuangdao, China",City,2018,43.9
"Changzhou, China",City,2018,50.3
"Hengyang, China",City,2018,41.3
"Neijiang, China",City,2018,36.8
"Mianyang, China",City,2018,45.3
"Yueyang, China",City,2018,43.4
"Shizuishan, China",City,2018,40.4
"Jincheng, China",City,2018,59.8
"Ili, China",City,2018,47.1
"Kosjeric, Serbia",City,2018,33.666666666666664
"Pokhara, Nepal",City,2018,26.25
"Herceg-Novi, Montenegro",City,2018,35.2
"Chengzihe, China",City,2018,35.1
"Baotou, China",City,2018,36.8
"Karaj, Iran",City,2018,22.2
"Jingzhou, China",City,2018,47.7
"Dashiqiao, China",City,2018,35.0
"Yingkou, China",City,2018,38.4
"Shuozhou, China",City,2018,41.8
"Gradiska, Bosnia Herzegovina",City,2018,34.9
"Laizhou, China",City,2018,32.4
