Location,2021,2020,2019,2018,Type
"Hanoi, Vietnam",36.2,37.9,46.9,40.8,City
"Coyhaique, Chile",36.1,33.3,41.5,34.2,City
"Bandar Mahshahr, Iran",36.1,37.2,,,City
"Qinhuangdao, China",36.0,37.4,43.6,43.9,City
"Changzhou, China",36.0,38.7,44.7,50.3,City
"Hengyang, China",35.9,35.3,42.1,41.3,City
"Neijiang, China",35.9,34.1,35.2,36.8,City
"Mianyang, China",35.8,34.2,37.8,45.3,City
"Yueyang, China",35.7,36.6,42.6,43.4,City
"Shizuishan, China",35.7,36.1,34.5,40.4,City
"Jincheng, China",35.7,46.2,54.1,59.8,City
"Ili, China",35.7,43.6,41.5,47.1,City
"Kosjeric, Serbia",35.5,36.7,28.8,,City
"Pokhara, Nepal",35.4,,17.1,,City
"Herceg-Novi, Montenegro",35.2,,,,City
"Chengzihe, China",35.1,,,,City
"Baotou, China",35.1,41.4,36.1,36.8,City
"Karaj, Iran",35.1,26.8,23.0,22.2,City
"Jingzhou, China",35.0,36.1,45.3,47.7,City
"Dashiqiao, China",35.0,,,,City
"Yingkou, China",35.0,40.2,41.2,38.4,City
"Shuozhou, China",35.0,38.6,38.8,41.8,City
"Gradiska, Bosnia Herzegovina",34.9,,,,City
"Laizhou, China",34.9,39.1,40.2,32.4,City
"Shengli, China",34.9,,,,City
"Loudi, China",34.8,32.1,38.2,30.6,City
"Jimo, China",34.8,38.6,44.0,32.8,City
"Rust'avi, Georgia",34.8,31.3,,,City
"Surabaya, Indonesia",34.8,33.4,40.6,,City
"Valjevo, Serbia",34.7,41.5,37.9,,City
"Weaverville, USA",34.7,13.9,8.8,,City
"Maanshan, China",34.6,35.8,42.3,43.8,City
"Jijiang, China",34.6,34.5,34.4,,City
"Jurong, China",34.6,37.3,43.8,50.7,City
"Erzurum, Turkey",34.5,34.2,,,City
"Beijing, China",34.4,37.5,42.1,50.9,City
"Yiyang, China",34.4,40.0,49.8,33.3,City
"Jiaozhou, China",34.3,38.5,49.2,41.9,City
"Malard, Iran",34.3,24.7,,,City
"Yangzhou, China",34.2,35.6,43.0,48.2,City
"Almaty, Kazakhstan",34.2,39.3,,,City
"Lukavica, Bosnia Herzegovina",34.1,,,,City
"Tongling, China",34.1,34.9,47.3,47.1,City
"Shadgan, Iran",34.1,30.3,32.8,,City
"Wuhu, China",34.0,35.9,44.4,48.8,City
"Xingbin Qu, China",34.0,30.4,35.2,39.5,City
"Taizhou, China",34.0,36.7,45.0,47.9,City
"Tongchuan, China",34.0,38.6,44.6,46.3,City
"Hanting, China",34.0,,,,City
"Guangan, China",34.0,31.1,32.7,,City
